epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5532.54,1.18681,2.19894,1.00682,1.45076,0.86691,0.85208,0.91377,0.56974,0.80402,0.79003,0.78187,0.42684,1.22776,2.19921,0.85933,1.56928,0.00045285,0.00045285,0.00045285
71,5604.64,1.1951,2.15449,1.01453,1.46548,0.87341,0.82073,0.90624,0.57448,0.7897,0.7774,0.79709,0.43061,1.19243,2.14758,0.87362,1.54365,0.000438703,0.000438703,0.000438703
72,5675.88,1.17645,2.13948,1.00046,1.45077,0.87844,0.81622,0.91069,0.56948,0.82227,0.76694,0.78864,0.4361,1.21514,2.19464,0.88499,1.55866,0.000424556,0.000424556,0.000424556
73,5747.25,1.15263,2.12147,0.98261,1.42823,0.88966,0.84129,0.91639,0.58613,0.83405,0.75554,0.78618,0.43614,1.1846,2.15642,0.83904,1.52793,0.000410409,0.000410409,0.000410409
74,5818.68,1.17442,2.18445,0.99361,1.44486,0.87765,0.85169,0.91953,0.59677,0.80374,0.79644,0.80734,0.4483,1.19051,2.10861,0.82687,1.52433,0.000396262,0.000396262,0.000396262
75,5891.06,1.17808,2.17608,0.98065,1.44167,0.86232,0.86752,0.91424,0.58683,0.78637,0.79847,0.79553,0.44416,1.1913,2.13456,0.84964,1.53842,0.000382115,0.000382115,0.000382115
76,5962.43,1.16249,2.1492,0.98828,1.43963,0.8753,0.84023,0.91393,0.58979,0.80732,0.77436,0.79002,0.44575,1.17786,2.12211,0.84726,1.53541,0.000367967,0.000367967,0.000367967
77,6033.85,1.1569,2.1614,0.97077,1.43746,0.85813,0.84072,0.91578,0.58684,0.78528,0.77745,0.80327,0.45217,1.16693,2.13852,0.85207,1.52142,0.00035382,0.00035382,0.00035382
78,6105.4,1.15509,2.128,0.95314,1.42565,0.8542,0.86556,0.92221,0.59063,0.79991,0.80337,0.81236,0.45528,1.17152,2.14137,0.82765,1.51606,0.000339673,0.000339673,0.000339673
79,6177.22,1.14311,2.12302,0.94814,1.42499,0.86142,0.85255,0.9179,0.59744,0.81048,0.77173,0.78891,0.44565,1.1528,2.15789,0.8182,1.51179,0.000325526,0.000325526,0.000325526
80,6249.66,1.13194,2.09857,0.94672,1.40778,0.85742,0.8696,0.92391,0.59761,0.8221,0.78923,0.81469,0.45304,1.17622,2.14091,0.80617,1.52396,0.000311379,0.000311379,0.000311379
81,6320.74,1.13214,2.11066,0.9433,1.40649,0.87481,0.88072,0.9251,0.60576,0.81569,0.79725,0.79628,0.44623,1.18168,2.15728,0.79985,1.5242,0.000297232,0.000297232,0.000297232
82,6391.76,1.12127,2.05483,0.93819,1.40152,0.88077,0.86966,0.92177,0.59738,0.80815,0.78794,0.79701,0.44196,1.17308,2.1827,0.83372,1.5336,0.000283085,0.000283085,0.000283085
83,6463.01,1.12931,2.11626,0.94515,1.40762,0.86542,0.88161,0.92514,0.60408,0.80465,0.809,0.80574,0.44925,1.1711,2.12437,0.79644,1.52702,0.000268938,0.000268938,0.000268938
84,6536.26,1.12658,2.10378,0.92286,1.40478,0.88307,0.86365,0.92683,0.6078,0.80837,0.82245,0.80777,0.45182,1.15689,2.16614,0.79042,1.50504,0.000254791,0.000254791,0.000254791
85,6608.91,1.09117,2.05121,0.91473,1.39175,0.87795,0.87165,0.93331,0.61261,0.8125,0.80496,0.82543,0.4566,1.14497,2.13974,0.7806,1.51814,0.000240644,0.000240644,0.000240644
86,6680.65,1.11722,2.07228,0.92395,1.40157,0.88128,0.86933,0.92534,0.60015,0.83492,0.80311,0.80971,0.45126,1.14776,2.13376,0.80265,1.51169,0.000226497,0.000226497,0.000226497
87,6752.41,1.09104,2.04759,0.8987,1.38282,0.90131,0.86413,0.92815,0.60686,0.83534,0.7875,0.80817,0.46293,1.14168,2.1129,0.77291,1.51718,0.000212349,0.000212349,0.000212349
88,6824.96,1.07878,1.998,0.88116,1.37212,0.9165,0.85987,0.93469,0.61082,0.83016,0.79556,0.81061,0.45336,1.13526,2.11857,0.77192,1.49203,0.000198202,0.000198202,0.000198202
